45.249099444506065,19.825313354492177,Ethyl - addname,0,none,00,00,00
45.24943179217986,19.823940063476552,Karelle - addname,0,none,00,00,00
45.249250511871594,19.82904698944091,Lindsay - addname,0,none,00,00,00
45.24903901744733,19.829883838653554,Larry - addname,0,none,00,00,00
45.24967349835759,19.83224418258666,Guy - addname,0,none,00,00,00
45.2498245641963,19.833231235504144,Amber - addname,0,none,00,00,00
45.25160711075053,19.8362138519287,Florencio - addname,0,none,00,00,00
45.251501368024364,19.83700778579711,Tianna - addname,0,none,00,00,00
45.25201497370726,19.837544227600088,Alivia - addname,0,none,00,00,00
45.25245304547236,19.836900497436517,Martina - addname,0,none,00,00,00
